id_evento,nombre,fecha,hora,modalidad,visibilidad,detalle
1,graduation ceremony,6/24/2024,14,online,friends,Wedding
2,graduation ceremony,5/16/2024,21,onsite,private,Wedding
3,anniversary celebration,7/2/2024,13,hybrid,public,Wedding
4,birthday party,8/15/2024,15,offline,friends,Concert
5,graduation ceremony,2/24/2025,11,online,custom,Concert
6,graduation ceremony,8/6/2024,10,onsite,public,Conference
7,baby shower,2/15/2025,17,hybrid,public,Birthday Party
8,wedding,10/26/2024,12,offline,custom,Concert
9,graduation ceremony,6/20/2024,2,online,friends,Wedding
10,graduation ceremony,8/30/2024,5,online,public,Conference
11,baby shower,8/13/2024,17,onsite,public,Concert
12,anniversary celebration,12/11/2024,3,online,public,Wedding
13,wedding,3/4/2024,22,hybrid,custom,Conference
14,birthday party,11/25/2024,19,hybrid,friends,Festival
15,birthday party,8/16/2024,21,hybrid,private,Concert
16,anniversary celebration,7/4/2024,3,hybrid,public,Wedding
17,anniversary celebration,4/1/2024,17,onsite,public,Birthday Party
18,graduation ceremony,9/2/2024,16,offline,public,Festival
19,anniversary celebration,4/7/2024,10,hybrid,friends,Wedding
20,wedding,4/12/2024,14,offline,friends,Festival
21,wedding,11/26/2024,15,onsite,friends,Birthday Party
22,birthday party,5/31/2024,5,offline,custom,Concert
23,baby shower,11/23/2024,19,hybrid,public,Festival
24,graduation ceremony,2/3/2025,1,online,public,Conference
25,graduation ceremony,9/2/2024,4,online,private,Conference
26,graduation ceremony,6/29/2024,9,hybrid,public,Conference
27,baby shower,5/12/2024,20,offline,public,Birthday Party
28,graduation ceremony,2/10/2025,15,onsite,public,Wedding
29,wedding,6/27/2024,19,offline,private,Festival
30,graduation ceremony,12/12/2024,1,onsite,friends,Concert
31,anniversary celebration,5/28/2024,13,online,private,Festival
32,wedding,3/18/2024,4,offline,public,Wedding
33,birthday party,10/17/2024,5,onsite,friends,Birthday Party
34,baby shower,3/12/2024,18,online,private,Festival
35,wedding,6/15/2024,1,onsite,custom,Conference
36,anniversary celebration,3/26/2024,10,online,custom,Wedding
37,baby shower,10/16/2024,15,hybrid,custom,Conference
38,wedding,3/23/2024,17,online,friends,Wedding
39,anniversary celebration,6/14/2024,16,hybrid,private,Wedding
40,graduation ceremony,6/27/2024,22,hybrid,private,Concert
41,anniversary celebration,10/3/2024,7,onsite,friends,Festival
42,birthday party,10/1/2024,21,hybrid,public,Concert
43,graduation ceremony,9/27/2024,23,online,friends,Birthday Party
44,wedding,3/5/2024,23,offline,friends,Wedding
45,birthday party,3/17/2024,20,hybrid,private,Wedding
46,baby shower,7/28/2024,4,online,friends,Wedding
47,anniversary celebration,11/14/2024,12,hybrid,private,Wedding
48,anniversary celebration,8/12/2024,1,online,custom,Conference
49,baby shower,8/29/2024,23,online,private,Wedding
50,baby shower,3/18/2024,22,onsite,private,Concert
51,baby shower,6/17/2024,15,onsite,friends,Wedding
52,anniversary celebration,3/18/2024,8,hybrid,private,Festival
53,wedding,1/4/2025,19,hybrid,private,Birthday Party
54,birthday party,9/25/2024,0,hybrid,friends,Wedding
55,anniversary celebration,12/26/2024,20,online,custom,Festival
56,wedding,5/24/2024,22,hybrid,custom,Festival
57,baby shower,12/25/2024,9,hybrid,friends,Conference
58,anniversary celebration,11/24/2024,22,onsite,custom,Festival
59,graduation ceremony,5/6/2024,5,offline,custom,Festival
60,birthday party,4/19/2024,9,offline,public,Concert
61,baby shower,5/29/2024,10,offline,custom,Festival
62,baby shower,10/18/2024,11,hybrid,custom,Wedding
63,wedding,12/19/2024,7,offline,public,Wedding
64,graduation ceremony,9/17/2024,18,offline,friends,Conference
65,wedding,1/26/2025,1,offline,private,Concert
66,anniversary celebration,2/16/2025,9,onsite,public,Conference
67,graduation ceremony,8/24/2024,9,onsite,friends,Conference
68,graduation ceremony,11/22/2024,0,online,friends,Wedding
69,graduation ceremony,1/2/2025,14,hybrid,custom,Birthday Party
70,graduation ceremony,12/28/2024,12,online,public,Concert
71,graduation ceremony,10/15/2024,18,online,private,Conference
72,graduation ceremony,1/9/2025,12,offline,friends,Wedding
73,wedding,6/2/2024,8,hybrid,friends,Wedding
74,wedding,8/13/2024,20,offline,public,Concert
75,graduation ceremony,10/6/2024,10,online,public,Festival
76,birthday party,2/22/2025,12,hybrid,public,Wedding
77,wedding,8/13/2024,2,hybrid,public,Festival
78,wedding,9/11/2024,3,online,public,Conference
79,graduation ceremony,11/28/2024,14,hybrid,custom,Wedding
80,graduation ceremony,5/7/2024,16,online,private,Concert
81,graduation ceremony,9/2/2024,11,onsite,custom,Wedding
82,anniversary celebration,9/26/2024,6,hybrid,public,Festival
83,baby shower,4/5/2024,19,onsite,custom,Birthday Party
84,graduation ceremony,5/9/2024,12,offline,friends,Birthday Party
85,anniversary celebration,6/3/2024,0,onsite,public,Birthday Party
86,birthday party,3/12/2024,17,hybrid,public,Festival
87,birthday party,5/4/2024,16,offline,friends,Concert
88,anniversary celebration,12/21/2024,7,onsite,friends,Conference
89,baby shower,1/16/2025,15,onsite,private,Birthday Party
