id_grupo,nombre,descripción,visibilidad,archivos,eventos
1,Fitness Fanatics,Join us for discussions on various topics.,secret,video/avi,1
2,Fitness Fanatics,Share your thoughts and connect with like-minded individuals.,private,video/mpeg,2
3,Bookworms Club,Share your thoughts and connect with like-minded individuals.,private,text/plain,3
4,Foodies United,Join us for discussions on various topics.,private,video/mpeg,4
5,Bookworms Club,Stay updated on upcoming events and announcements in our group.,private,application/powerpoint,5
6,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,secret,application/vnd.ms-powerpoint,6
7,Foodies United,Share your thoughts and connect with like-minded individuals.,public,video/msvideo,7
8,Foodies United,Stay updated on upcoming events and announcements in our group.,private,audio/mpeg3,8
9,Fitness Fanatics,Join us for discussions on various topics.,secret,application/vnd.ms-excel,9
10,Bookworms Club,Engage with our community through posts and comments.,private,image/jpeg,10
11,Travel Lovers,Share your thoughts and connect with like-minded individuals.,private,video/msvideo,11
12,Travel Lovers,Join us for discussions on various topics.,secret,application/powerpoint,12
13,Bookworms Club,Stay updated on upcoming events and announcements in our group.,private,image/pjpeg,13
14,Foodies United,Share your thoughts and connect with like-minded individuals.,secret,video/mpeg,14
15,Tech Enthusiasts,Engage with our community through posts and comments.,private,image/jpeg,15
16,Fitness Fanatics,Engage with our community through posts and comments.,public,image/tiff,16
17,Travel Lovers,Share your thoughts and connect with like-minded individuals.,public,application/vnd.ms-powerpoint,17
18,Travel Lovers,Engage with our community through posts and comments.,secret,video/mpeg,18
19,Foodies United,Join us for discussions on various topics.,secret,application/vnd.ms-powerpoint,19
20,Foodies United,Stay updated on upcoming events and announcements in our group.,secret,image/tiff,20
21,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,secret,application/x-troff-msvideo,21
22,Foodies United,Join us for discussions on various topics.,private,audio/mpeg3,22
23,Bookworms Club,Engage with our community through posts and comments.,secret,image/jpeg,23
24,Fitness Fanatics,Engage with our community through posts and comments.,private,video/mpeg,24
25,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,public,application/msword,25
26,Travel Lovers,Join us for discussions on various topics.,public,video/mpeg,26
27,Travel Lovers,Share your thoughts and connect with like-minded individuals.,public,application/powerpoint,27
28,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,public,video/x-mpeg,28
29,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,public,video/quicktime,29
30,Travel Lovers,Share your thoughts and connect with like-minded individuals.,secret,audio/mpeg3,30
31,Tech Enthusiasts,Engage with our community through posts and comments.,public,application/excel,31
32,Fitness Fanatics,Engage with our community through posts and comments.,secret,video/x-msvideo,32
33,Foodies United,Share your thoughts and connect with like-minded individuals.,public,application/excel,33
34,Tech Enthusiasts,Join us for discussions on various topics.,public,video/mpeg,34
35,Tech Enthusiasts,Engage with our community through posts and comments.,public,audio/mpeg3,35
36,Foodies United,Engage with our community through posts and comments.,private,audio/x-mpeg-3,36
37,Fitness Fanatics,Engage with our community through posts and comments.,private,video/x-msvideo,37
38,Foodies United,Join us for discussions on various topics.,public,application/excel,38
39,Bookworms Club,Engage with our community through posts and comments.,private,application/msword,39
40,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,secret,application/x-mspowerpoint,40
41,Tech Enthusiasts,Join us for discussions on various topics.,secret,video/mpeg,41
42,Bookworms Club,Share your thoughts and connect with like-minded individuals.,public,video/x-mpeg,42
43,Foodies United,Join us for discussions on various topics.,public,application/pdf,43
44,Travel Lovers,Stay updated on upcoming events and announcements in our group.,secret,video/mpeg,44
45,Foodies United,Join us for discussions on various topics.,private,image/jpeg,45
46,Foodies United,Engage with our community through posts and comments.,private,image/x-tiff,46
47,Travel Lovers,Engage with our community through posts and comments.,public,application/x-mspowerpoint,47
48,Travel Lovers,Join us for discussions on various topics.,private,application/vnd.ms-powerpoint,48
49,Travel Lovers,Stay updated on upcoming events and announcements in our group.,public,image/tiff,49
50,Bookworms Club,Engage with our community through posts and comments.,public,application/vnd.ms-excel,50
51,Foodies United,Stay updated on upcoming events and announcements in our group.,secret,audio/x-mpeg-3,51
52,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,private,video/mpeg,52
53,Travel Lovers,Share your thoughts and connect with like-minded individuals.,secret,application/mspowerpoint,53
54,Tech Enthusiasts,Join us for discussions on various topics.,public,application/pdf,54
55,Travel Lovers,Engage with our community through posts and comments.,secret,application/vnd.ms-powerpoint,55
56,Tech Enthusiasts,Engage with our community through posts and comments.,public,application/msword,56
57,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,secret,video/quicktime,57
58,Bookworms Club,Share your thoughts and connect with like-minded individuals.,public,text/plain,58
59,Bookworms Club,Share your thoughts and connect with like-minded individuals.,public,application/pdf,59
60,Travel Lovers,Join us for discussions on various topics.,public,application/x-excel,60
61,Bookworms Club,Share your thoughts and connect with like-minded individuals.,secret,image/jpeg,61
62,Foodies United,Stay updated on upcoming events and announcements in our group.,public,application/vnd.ms-powerpoint,62
63,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,private,audio/mpeg3,63
64,Bookworms Club,Engage with our community through posts and comments.,public,image/jpeg,64
65,Tech Enthusiasts,Join us for discussions on various topics.,secret,audio/mpeg3,65
66,Tech Enthusiasts,Engage with our community through posts and comments.,private,image/jpeg,66
67,Bookworms Club,Join us for discussions on various topics.,private,image/png,67
68,Fitness Fanatics,Engage with our community through posts and comments.,secret,audio/mpeg3,68
69,Fitness Fanatics,Engage with our community through posts and comments.,secret,application/x-troff-msvideo,69
70,Fitness Fanatics,Engage with our community through posts and comments.,public,audio/mpeg3,70
71,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,secret,video/x-msvideo,71
72,Bookworms Club,Engage with our community through posts and comments.,private,video/x-mpeg,72
73,Tech Enthusiasts,Engage with our community through posts and comments.,public,application/x-msexcel,73
74,Foodies United,Stay updated on upcoming events and announcements in our group.,private,application/vnd.ms-excel,74
75,Travel Lovers,Engage with our community through posts and comments.,secret,audio/x-mpeg-3,75
76,Tech Enthusiasts,Join us for discussions on various topics.,public,application/excel,76
77,Foodies United,Join us for discussions on various topics.,private,video/mpeg,77
78,Fitness Fanatics,Join us for discussions on various topics.,secret,application/mspowerpoint,78
79,Fitness Fanatics,Join us for discussions on various topics.,secret,image/tiff,79
80,Travel Lovers,Engage with our community through posts and comments.,public,video/msvideo,80
81,Foodies United,Engage with our community through posts and comments.,secret,application/mspowerpoint,81
82,Tech Enthusiasts,Engage with our community through posts and comments.,secret,application/vnd.ms-excel,82
83,Fitness Fanatics,Share your thoughts and connect with like-minded individuals.,public,application/vnd.ms-excel,83
84,Bookworms Club,Join us for discussions on various topics.,private,image/jpeg,84
85,Foodies United,Share your thoughts and connect with like-minded individuals.,secret,video/avi,85
86,Travel Lovers,Engage with our community through posts and comments.,private,application/powerpoint,86
87,Fitness Fanatics,Engage with our community through posts and comments.,public,application/vnd.ms-powerpoint,87
88,Bookworms Club,Join us for discussions on various topics.,secret,application/x-msexcel,88
89,Fitness Fanatics,Engage with our community through posts and comments.,private,image/pjpeg,89
90,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,secret,application/x-mspowerpoint,90
91,Foodies United,Join us for discussions on various topics.,secret,application/x-excel,91
92,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,public,image/gif,92
93,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,secret,application/x-troff-msvideo,93
94,Fitness Fanatics,Join us for discussions on various topics.,public,image/tiff,94
95,Travel Lovers,Engage with our community through posts and comments.,private,application/x-troff-msvideo,95
96,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,private,image/tiff,96
97,Fitness Fanatics,Engage with our community through posts and comments.,public,image/jpeg,97
98,Tech Enthusiasts,Join us for discussions on various topics.,secret,image/pjpeg,98
99,Travel Lovers,Stay updated on upcoming events and announcements in our group.,public,audio/x-mpeg-3,99
100,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,private,video/avi,100
101,Bookworms Club,Join us for discussions on various topics.,public,image/gif,101
102,Bookworms Club,Join us for discussions on various topics.,public,application/excel,102
103,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,public,image/x-tiff,103
104,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,private,application/powerpoint,104
105,Foodies United,Stay updated on upcoming events and announcements in our group.,private,application/mspowerpoint,105
106,Foodies United,Engage with our community through posts and comments.,public,application/mspowerpoint,106
107,Bookworms Club,Stay updated on upcoming events and announcements in our group.,public,application/x-troff-msvideo,107
108,Bookworms Club,Share your thoughts and connect with like-minded individuals.,private,image/tiff,108
109,Fitness Fanatics,Join us for discussions on various topics.,private,audio/x-mpeg-3,109
110,Foodies United,Engage with our community through posts and comments.,public,video/mpeg,110
111,Foodies United,Join us for discussions on various topics.,secret,image/png,111
112,Travel Lovers,Engage with our community through posts and comments.,private,audio/x-mpeg-3,112
113,Fitness Fanatics,Join us for discussions on various topics.,public,audio/mpeg3,113
114,Bookworms Club,Stay updated on upcoming events and announcements in our group.,public,video/msvideo,114
115,Bookworms Club,Join us for discussions on various topics.,public,application/msword,115
116,Fitness Fanatics,Join us for discussions on various topics.,public,image/png,116
117,Fitness Fanatics,Join us for discussions on various topics.,public,application/pdf,117
118,Fitness Fanatics,Share your thoughts and connect with like-minded individuals.,secret,image/jpeg,118
119,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,private,application/powerpoint,119
120,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,private,image/tiff,120
121,Travel Lovers,Stay updated on upcoming events and announcements in our group.,secret,image/x-tiff,121
122,Travel Lovers,Join us for discussions on various topics.,secret,application/pdf,122
123,Foodies United,Join us for discussions on various topics.,private,video/mpeg,123
124,Fitness Fanatics,Share your thoughts and connect with like-minded individuals.,private,video/avi,124
125,Foodies United,Engage with our community through posts and comments.,public,video/mpeg,125
126,Foodies United,Join us for discussions on various topics.,secret,application/msword,126
127,Bookworms Club,Stay updated on upcoming events and announcements in our group.,public,audio/mpeg3,127
128,Tech Enthusiasts,Engage with our community through posts and comments.,public,video/msvideo,128
129,Foodies United,Engage with our community through posts and comments.,public,application/x-mspowerpoint,129
130,Travel Lovers,Engage with our community through posts and comments.,private,video/msvideo,130
131,Travel Lovers,Engage with our community through posts and comments.,private,image/x-tiff,131
132,Bookworms Club,Join us for discussions on various topics.,secret,application/pdf,132
133,Tech Enthusiasts,Join us for discussions on various topics.,secret,text/plain,133
134,Foodies United,Stay updated on upcoming events and announcements in our group.,public,image/x-tiff,134
135,Travel Lovers,Stay updated on upcoming events and announcements in our group.,public,application/vnd.ms-excel,135
136,Foodies United,Share your thoughts and connect with like-minded individuals.,private,video/mpeg,136
137,Bookworms Club,Stay updated on upcoming events and announcements in our group.,private,application/excel,137
138,Bookworms Club,Stay updated on upcoming events and announcements in our group.,private,application/x-troff-msvideo,138
139,Tech Enthusiasts,Join us for discussions on various topics.,secret,application/vnd.ms-excel,139
140,Fitness Fanatics,Engage with our community through posts and comments.,public,audio/mpeg3,140
141,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,private,application/vnd.ms-excel,141
142,Travel Lovers,Engage with our community through posts and comments.,secret,audio/x-mpeg-3,142
143,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,public,application/excel,143
144,Tech Enthusiasts,Join us for discussions on various topics.,secret,video/quicktime,144
145,Foodies United,Engage with our community through posts and comments.,secret,image/pjpeg,145
146,Bookworms Club,Share your thoughts and connect with like-minded individuals.,secret,application/powerpoint,146
147,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,secret,video/x-mpeg,147
148,Foodies United,Share your thoughts and connect with like-minded individuals.,private,image/x-tiff,148
149,Bookworms Club,Share your thoughts and connect with like-minded individuals.,private,application/powerpoint,149
150,Foodies United,Join us for discussions on various topics.,private,video/mpeg,150
151,Travel Lovers,Share your thoughts and connect with like-minded individuals.,public,text/plain,151
152,Foodies United,Join us for discussions on various topics.,private,video/quicktime,152
153,Travel Lovers,Engage with our community through posts and comments.,secret,application/x-msexcel,153
154,Bookworms Club,Share your thoughts and connect with like-minded individuals.,public,application/x-troff-msvideo,154
155,Fitness Fanatics,Engage with our community through posts and comments.,secret,image/tiff,155
156,Travel Lovers,Stay updated on upcoming events and announcements in our group.,secret,application/excel,156
157,Travel Lovers,Share your thoughts and connect with like-minded individuals.,public,audio/mpeg3,157
158,Foodies United,Join us for discussions on various topics.,secret,application/msword,158
159,Foodies United,Share your thoughts and connect with like-minded individuals.,secret,application/x-excel,159
160,Travel Lovers,Share your thoughts and connect with like-minded individuals.,public,audio/x-mpeg-3,160
161,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,private,video/mpeg,161
162,Travel Lovers,Engage with our community through posts and comments.,private,application/powerpoint,162
163,Bookworms Club,Engage with our community through posts and comments.,secret,video/msvideo,163
164,Foodies United,Join us for discussions on various topics.,private,application/vnd.ms-excel,164
165,Travel Lovers,Engage with our community through posts and comments.,public,video/x-msvideo,165
166,Bookworms Club,Join us for discussions on various topics.,secret,application/vnd.ms-powerpoint,166
167,Travel Lovers,Join us for discussions on various topics.,private,video/quicktime,167
168,Travel Lovers,Share your thoughts and connect with like-minded individuals.,private,application/msword,168
169,Bookworms Club,Stay updated on upcoming events and announcements in our group.,secret,video/x-mpeg,169
170,Tech Enthusiasts,Share your thoughts and connect with like-minded individuals.,private,image/tiff,170
171,Fitness Fanatics,Stay updated on upcoming events and announcements in our group.,private,application/x-msexcel,171
172,Fitness Fanatics,Share your thoughts and connect with like-minded individuals.,secret,application/powerpoint,172
173,Travel Lovers,Join us for discussions on various topics.,public,image/x-tiff,173
174,Tech Enthusiasts,Stay updated on upcoming events and announcements in our group.,private,audio/x-mpeg-3,174
175,Foodies United,Share your thoughts and connect with like-minded individuals.,secret,video/msvideo,175
176,Fitness Fanatics,Join us for discussions on various topics.,private,video/msvideo,176
177,Fitness Fanatics,Join us for discussions on various topics.,public,application/x-mspowerpoint,177
178,Travel Lovers,Engage with our community through posts and comments.,secret,audio/x-mpeg-3,178
179,Tech Enthusiasts,Engage with our community through posts and comments.,secret,application/x-mspowerpoint,179
180,Foodies United,Join us for discussions on various topics.,public,image/tiff,180
181,Fitness Fanatics,Share your thoughts and connect with like-minded individuals.,public,text/plain,181
